col_1:I,col_2:I,col_3:I,col_4:C,col_5:C,clo_6:T
276,725,269,GREEN,v,1
276,275,731,BLUE,v,1
724,275,269,YELLOW,v,1
271,295,297,RED,v,1
271,705,297,GREEN,v,1
271,295,703,BLUE,v,1
729,295,297,YELLOW,v,1
277,292,298,RED,v,1
277,708,298,GREEN,v,1
277,292,702,BLUE,v,1
723,292,298,YELLOW,v,1
302,297,311,RED,v,1
302,703,311,GREEN,v,1
302,297,689,BLUE,v,1
698,297,311,YELLOW,v,1
328,296,314,RED,v,1
328,704,314,GREEN,v,1
328,296,686,BLUE,v,1
672,296,314,YELLOW,v,1
305,328,318,RED,v,1
305,672,318,GREEN,v,1
305,328,682,BLUE,v,1
695,328,318,YELLOW,v,1
346,337,325,RED,v,1
346,663,325,GREEN,v,1
346,337,675,BLUE,v,1
654,337,325,YELLOW,v,1
335,347,358,RED,v,1
335,653,358,GREEN,v,1
335,347,642,BLUE,v,1
665,347,358,YELLOW,v,1
342,351,348,RED,v,1
342,649,348,GREEN,v,1
342,351,652,BLUE,v,1
658,351,348,YELLOW,v,1
343,378,371,RED,v,1
343,622,371,GREEN,v,1
343,378,629,BLUE,v,1
657,378,371,YELLOW,v,1
382,359,375,RED,v,1
382,641,375,GREEN,v,1
382,359,625,BLUE,v,1
618,359,375,YELLOW,v,1
370,390,371,RED,v,1
370,610,371,GREEN,v,1
370,390,629,BLUE,v,1
630,390,371,YELLOW,v,1
390,382,392,RED,v,1
390,618,392,GREEN,v,1
390,382,608,BLUE,v,1
610,382,392,YELLOW,v,1
385,389,403,RED,v,1
385,611,403,GREEN,v,1
385,389,597,BLUE,v,1
615,389,403,YELLOW,v,1
414,427,399,RED,v,1
414,573,399,GREEN,v,1
414,427,601,BLUE,v,1
586,427,399,YELLOW,v,1
403,411,417,RED,v,0
403,589,417,GREEN,v,0
403,411,583,BLUE,v,0
597,411,417,YELLOW,v,0
413,427,432,RED,v,1
413,573,432,GREEN,v,1
413,427,568,BLUE,v,1
587,427,432,YELLOW,v,1
442,447,422,YELLOW,v,0
442,553,422,GREEN,v,0
442,447,578,RED,v,0
558,447,422,RED,v,0
433,465,455,RED,v,1
433,535,455,GREEN,v,1
433,465,545,BLUE,v,1
567,465,455,YELLOW,v,1
444,458,451,RED,v,1
444,542,451,GREEN,v,1
444,458,549,BLUE,v,1
556,458,451,YELLOW,v,1
456,476,475,RED,v,1
456,524,475,GREEN,v,1
456,476,525,BLUE,v,1
544,476,475,YELLOW,v,1
489,494,495,RED,v,1
489,506,495,GREEN,v,1
489,494,505,BLUE,v,1
511,494,495,YELLOW,v,1
489,483,504,RED,v,1
489,517,504,GREEN,v,1
489,483,496,BLUE,v,1
511,483,504,YELLOW,v,1
516,489,513,RED,o,1
516,511,513,GREEN,o,1
516,489,487,BLUE,o,1
484,489,513,YELLOW,o,1
509,511,500,RED,o,1
509,489,500,GREEN,o,1
509,511,500,BLUE,o,1
491,511,500,YELLOW,o,1
503,533,526,RED,o,1
503,467,526,GREEN,o,1
503,533,474,BLUE,o,1
497,533,526,YELLOW,o,1
514,538,510,RED,o,1
514,462,510,GREEN,o,1
514,538,490,BLUE,o,1
486,538,510,YELLOW,o,1
537,538,558,RED,o,1
537,462,558,GREEN,o,1
537,538,442,BLUE,o,1
463,538,558,YELLOW,o,1
537,551,556,RED,o,1
537,449,556,GREEN,o,1
537,551,444,BLUE,o,1
463,551,556,YELLOW,o,1
763,563,677,GREEN,v,0
763,437,677,YELLOW,v,0
763,563,323,YELLOW,v,0
237,563,677,BLUE,v,0
569,584,560,RED,o,1
569,416,560,GREEN,o,1
569,584,440,BLUE,o,1
431,584,560,YELLOW,o,1
586,565,588,RED,o,1
586,435,588,GREEN,o,1
586,565,412,BLUE,o,1
414,565,588,YELLOW,o,1
593,580,606,RED,v,0
593,420,606,GREEN,v,0
593,580,394,BLUE,v,0
407,580,606,YELLOW,v,0
597,618,618,RED,o,1
597,382,618,GREEN,o,1
597,618,382,BLUE,o,1
403,618,618,YELLOW,o,1
597,597,627,BLUE,v,0
597,403,627,RED,v,0
597,597,373,RED,v,0
403,597,627,YELLOW,v,0
623,609,636,RED,o,1
623,391,636,GREEN,o,1
623,609,364,BLUE,o,1
377,609,636,YELLOW,o,1
616,638,636,RED,o,1
616,362,636,GREEN,o,1
616,638,364,BLUE,o,1
384,638,636,YELLOW,o,1
627,621,624,RED,o,1
627,379,624,GREEN,o,1
627,621,376,BLUE,o,1
373,621,624,YELLOW,o,1
648,665,640,RED,o,1
648,335,640,GREEN,o,1
648,665,360,BLUE,o,1
352,665,640,YELLOW,o,1
664,676,672,RED,o,1
664,324,672,GREEN,o,1
664,676,328,BLUE,o,1
336,676,672,YELLOW,o,1
669,658,674,RED,o,1
669,342,674,GREEN,o,1
669,658,326,BLUE,o,1
331,658,674,YELLOW,o,1
669,693,685,RED,o,1
669,307,685,GREEN,o,1
669,693,315,BLUE,o,1
331,693,685,YELLOW,o,1
700,670,710,RED,o,1
700,330,710,GREEN,o,1
700,670,290,BLUE,o,1
300,670,710,YELLOW,o,1
716,685,693,RED,o,1
716,315,693,GREEN,o,1
716,685,307,BLUE,o,1
284,685,693,YELLOW,o,1
563,831,283,GREEN,o,0
563,169,283,GREEN,o,0
563,831,717,YELLOW,o,0
437,831,283,YELLOW,o,0
710,740,712,RED,o,1
710,260,712,GREEN,o,1
710,740,288,BLUE,o,1
290,740,712,YELLOW,o,1
745,747,714,RED,o,1
745,253,714,GREEN,o,1
745,747,286,BLUE,o,1
255,747,714,YELLOW,o,1
736,754,753,RED,o,1
736,246,753,GREEN,o,1
736,754,247,BLUE,o,1
264,754,753,YELLOW,o,1
758,763,731,RED,o,1
758,237,731,GREEN,o,1
758,763,269,BLUE,o,1
242,763,731,YELLOW,o,1
748,747,751,RED,o,1
748,253,751,GREEN,o,1
748,747,249,BLUE,o,1
252,747,751,YELLOW,o,1
781,750,753,RED,o,1
781,250,753,GREEN,o,1
781,750,247,BLUE,o,1
219,750,753,YELLOW,o,1
788,792,760,RED,o,1
788,208,760,GREEN,o,1
788,792,240,BLUE,o,1
212,792,760,YELLOW,o,1
772,782,770,RED,o,1
772,218,770,GREEN,o,1
772,782,230,BLUE,o,1
228,782,770,YELLOW,o,1
814,814,807,RED,o,1
814,186,807,GREEN,o,1
814,814,193,BLUE,o,1
186,814,807,YELLOW,o,1
794,814,811,RED,o,1
794,186,811,GREEN,o,1
794,814,189,BLUE,o,1
206,814,811,YELLOW,o,1
819,809,832,RED,v,0
819,191,832,GREEN,v,0
819,809,168,BLUE,v,0
181,809,832,YELLOW,v,0
844,834,842,RED,o,1
844,166,842,GREEN,o,1
844,834,158,BLUE,o,1
156,834,842,YELLOW,o,1
855,851,827,RED,o,1
855,149,827,GREEN,o,1
855,851,173,BLUE,o,1
145,851,827,YELLOW,o,1
864,849,846,RED,o,1
864,151,846,GREEN,o,1
864,849,154,BLUE,o,1
136,849,846,YELLOW,o,1
874,852,866,RED,o,1
874,148,866,GREEN,o,1
874,852,134,BLUE,o,1
126,852,866,YELLOW,o,1
864,851,877,RED,o,1
864,149,877,GREEN,o,1
864,851,123,BLUE,o,1
136,851,877,YELLOW,o,1
891,896,890,RED,o,1
891,104,890,GREEN,o,1
891,896,110,BLUE,o,1
109,896,890,YELLOW,o,1
879,890,871,RED,o,1
879,110,871,GREEN,o,1
879,890,129,BLUE,o,1
121,890,871,YELLOW,o,1
819,654,831,BLUE,v,0
819,346,831,YELLOW,v,0
819,654,169,RED,v,0
181,654,831,BLUE,v,0
917,930,899,RED,o,1
917,70,899,GREEN,o,1
917,930,101,BLUE,o,1
83,930,899,YELLOW,o,1
927,937,904,RED,o,1
927,63,904,GREEN,o,1
927,937,96,BLUE,o,1
73,937,904,YELLOW,o,1
911,942,941,RED,o,1
911,58,941,GREEN,o,1
911,942,59,BLUE,o,1
89,942,941,YELLOW,o,1
960,958,959,RED,o,1
960,42,959,GREEN,o,1
960,958,41,BLUE,o,1
40,958,959,YELLOW,o,1
959,966,948,RED,o,1
959,34,948,GREEN,o,1
959,966,52,BLUE,o,1
41,966,948,YELLOW,o,1
980,957,947,RED,o,1
980,43,947,GREEN,o,1
980,957,53,BLUE,o,1
20,957,947,YELLOW,o,1
980,979,967,RED,o,1
980,21,967,GREEN,o,1
980,979,33,BLUE,o,1
20,979,967,YELLOW,o,1
988,996,992,RED,o,1
988,4,992,GREEN,o,1
988,996,8,BLUE,o,1
12,996,992,YELLOW,o,1
982,977,985,RED,o,1
982,23,985,GREEN,o,1
982,977,15,BLUE,o,1
18,977,985,YELLOW,o,1
