col_1:I,col_2:I,col_3:I,col_4:C,col_5:C,clo_6:T
253,224,742,BLUE,v,1
747,224,258,YELLOW,v,1
263,268,265,RED,v,1
263,732,265,GREEN,v,1
263,268,735,BLUE,v,1
737,268,265,YELLOW,v,1
267,249,244,RED,v,1
267,751,244,GREEN,v,1
267,249,756,BLUE,v,1
733,249,244,YELLOW,v,1
281,266,289,RED,v,1
281,734,289,GREEN,v,1
281,266,711,BLUE,v,1
719,266,289,YELLOW,v,1
287,294,296,RED,v,1
287,706,296,GREEN,v,1
287,294,704,BLUE,v,1
713,294,296,YELLOW,v,1
303,310,286,RED,v,1
303,690,286,GREEN,v,1
303,310,714,BLUE,v,1
697,310,286,YELLOW,v,1
294,310,280,RED,o,0
294,690,280,GREEN,o,0
294,310,720,BLUE,o,0
706,310,280,YELLOW,o,0
306,303,313,RED,v,1
306,697,313,GREEN,v,1
306,303,687,BLUE,v,1
694,303,313,YELLOW,v,1
337,312,324,RED,v,1
337,688,324,GREEN,v,1
337,312,676,BLUE,v,1
663,312,324,YELLOW,v,1
340,310,311,RED,v,1
340,690,311,GREEN,v,1
340,310,689,BLUE,v,1
660,310,311,YELLOW,v,1
347,358,357,RED,v,1
347,642,357,GREEN,v,1
347,358,643,BLUE,v,1
653,358,357,YELLOW,v,1
366,365,351,RED,v,1
366,635,351,GREEN,v,1
366,365,649,BLUE,v,1
634,365,351,YELLOW,v,1
344,359,369,RED,v,1
344,641,369,GREEN,v,1
344,359,631,BLUE,v,1
656,359,369,YELLOW,v,1
356,376,372,RED,v,1
356,624,372,GREEN,v,1
356,376,628,BLUE,v,1
644,376,372,YELLOW,v,1
382,361,389,RED,v,1
382,639,389,GREEN,v,1
382,361,611,BLUE,v,1
618,361,389,YELLOW,v,1
391,384,397,RED,v,1
391,616,397,GREEN,v,1
391,384,603,BLUE,v,1
609,384,397,YELLOW,v,1
398,410,414,RED,v,1
398,590,414,GREEN,v,1
398,410,586,BLUE,v,1
602,410,414,YELLOW,v,1
390,425,415,RED,v,1
390,575,415,GREEN,v,1
390,425,585,BLUE,v,1
610,425,415,YELLOW,v,1
440,427,440,RED,v,1
440,573,440,GREEN,v,1
440,427,560,BLUE,v,1
560,427,440,YELLOW,v,1
424,429,434,YELLOW,v,0
424,571,434,RED,v,0
424,429,566,YELLOW,v,0
576,429,434,GREEN,v,0
435,434,428,RED,v,1
435,566,428,GREEN,v,1
435,434,572,BLUE,v,1
565,434,428,YELLOW,v,1
446,460,455,RED,v,1
446,540,455,GREEN,v,1
446,460,545,BLUE,v,1
554,460,455,YELLOW,v,1
470,444,461,RED,v,1
470,556,461,GREEN,v,1
470,444,539,BLUE,v,1
530,444,461,YELLOW,v,1
464,458,484,RED,v,1
464,542,484,GREEN,v,1
464,458,516,BLUE,v,1
536,458,484,YELLOW,v,1
651,542,618,GREEN,o,0
651,458,618,BLUE,o,0
651,542,382,GREEN,o,0
349,542,618,RED,o,0
473,488,496,RED,v,1
473,512,496,GREEN,v,1
473,488,504,BLUE,v,1
527,488,496,YELLOW,v,1
480,512,481,RED,o,1
480,488,481,GREEN,o,1
480,512,519,BLUE,o,1
520,512,481,YELLOW,o,1
521,495,523,RED,o,1
521,505,523,GREEN,o,1
521,495,477,BLUE,o,1
479,495,523,YELLOW,o,1
510,514,510,RED,o,1
510,486,510,GREEN,o,1
510,514,490,BLUE,o,1
490,514,510,YELLOW,o,1
517,539,542,RED,o,1
517,461,542,GREEN,o,1
517,539,458,BLUE,o,1
483,539,542,YELLOW,o,1
560,528,523,RED,o,1
560,472,523,GREEN,o,1
560,528,477,BLUE,o,1
440,528,523,YELLOW,o,1
535,534,540,RED,o,1
535,466,540,GREEN,o,1
535,534,460,BLUE,o,1
465,534,540,YELLOW,o,1
559,565,549,RED,o,1
559,435,549,GREEN,o,1
559,565,451,BLUE,o,1
441,565,549,YELLOW,o,1
572,579,586,BLUE,o,0
572,421,586,YELLOW,o,0
572,579,414,RED,o,0
428,579,586,GREEN,o,0
593,589,561,RED,o,1
593,411,561,GREEN,o,1
593,589,439,BLUE,o,1
407,589,561,YELLOW,o,1
591,610,598,RED,o,1
591,390,598,GREEN,o,1
591,610,402,BLUE,o,1
409,610,598,YELLOW,o,1
600,589,590,RED,o,1
600,411,590,GREEN,o,1
600,589,410,BLUE,o,1
400,589,590,YELLOW,o,1
606,616,613,RED,o,1
606,384,613,GREEN,o,1
606,616,387,BLUE,o,1
394,616,613,YELLOW,o,1
612,621,611,RED,o,1
612,379,611,GREEN,o,1
612,621,389,BLUE,o,1
388,621,611,YELLOW,o,1
624,633,619,RED,o,1
624,367,619,GREEN,o,1
624,633,381,BLUE,o,1
376,633,619,YELLOW,o,1
653,627,656,RED,o,1
653,373,656,GREEN,o,1
653,627,344,BLUE,o,1
347,627,656,YELLOW,o,1
670,656,647,GREEN,o,0
670,344,647,YELLOW,o,0
670,656,353,RED,o,0
330,656,647,BLUE,o,0
666,666,645,RED,o,1
666,334,645,GREEN,o,1
666,666,355,BLUE,o,1
334,666,645,YELLOW,o,1
652,678,652,RED,v,0
652,322,652,GREEN,v,0
652,678,348,BLUE,v,0
348,678,652,YELLOW,v,0
678,666,679,RED,o,0
678,334,679,RED,o,0
678,666,321,BLUE,o,0
322,666,679,YELLOW,o,0
704,679,698,RED,o,1
704,321,698,GREEN,o,1
704,679,302,BLUE,o,1
296,679,698,YELLOW,o,1
719,685,701,RED,o,1
719,315,701,GREEN,o,1
719,685,299,BLUE,o,1
281,685,701,YELLOW,o,1
722,730,725,RED,o,1
722,270,725,GREEN,o,1
722,730,275,BLUE,o,1
278,730,725,YELLOW,o,1
739,735,724,RED,o,1
739,265,724,GREEN,o,1
739,735,276,BLUE,o,1
261,735,724,YELLOW,o,1
737,730,729,RED,o,1
737,270,729,GREEN,o,1
737,730,271,BLUE,o,1
263,730,729,YELLOW,o,1
726,730,750,RED,o,1
726,270,750,GREEN,o,1
726,730,250,BLUE,o,1
274,730,750,YELLOW,o,1
748,754,734,RED,o,1
748,246,734,GREEN,o,1
748,754,266,BLUE,o,1
252,754,734,YELLOW,o,1
759,752,767,RED,o,1
759,248,767,GREEN,o,1
759,752,233,BLUE,o,1
241,752,767,YELLOW,o,1
757,750,763,RED,o,1
757,250,763,GREEN,o,1
757,750,237,BLUE,o,1
243,750,763,YELLOW,o,1
785,798,761,RED,o,1
785,202,761,GREEN,o,1
785,798,239,BLUE,o,1
215,798,761,YELLOW,o,1
786,808,787,RED,o,1
786,192,787,GREEN,o,1
786,808,213,BLUE,o,1
214,808,787,YELLOW,o,1
805,783,809,RED,o,1
805,217,809,GREEN,o,1
805,783,191,BLUE,o,1
195,783,809,YELLOW,o,1
823,801,804,RED,o,1
823,199,804,GREEN,o,1
823,801,196,BLUE,o,1
177,801,804,YELLOW,o,1
812,826,811,RED,o,1
812,174,811,GREEN,o,1
812,826,189,BLUE,o,1
188,826,811,YELLOW,o,1
820,839,833,RED,o,1
820,161,833,GREEN,o,1
820,839,167,BLUE,o,1
180,839,833,YELLOW,o,1
841,833,847,RED,o,1
841,167,847,GREEN,o,1
841,833,153,BLUE,o,1
159,833,847,YELLOW,o,1
861,860,838,RED,o,1
861,140,838,GREEN,o,1
861,860,162,BLUE,o,1
139,860,838,YELLOW,o,1
866,875,868,RED,o,1
866,125,868,GREEN,o,1
866,875,132,BLUE,o,1
134,875,868,YELLOW,o,1
876,852,856,RED,o,1
876,148,856,GREEN,o,1
876,852,144,BLUE,o,1
124,852,856,YELLOW,o,1
876,892,883,RED,o,1
876,108,883,GREEN,o,1
876,892,117,BLUE,o,1
124,892,883,YELLOW,o,1
898,890,895,RED,o,1
898,110,895,GREEN,o,1
898,890,105,BLUE,o,1
102,890,895,YELLOW,o,1
891,891,916,RED,o,1
891,109,916,GREEN,o,1
891,891,84,BLUE,o,1
109,891,916,YELLOW,o,1
900,890,919,RED,o,1
900,110,919,GREEN,o,1
900,890,81,BLUE,o,1
100,890,919,YELLOW,o,1
937,935,921,RED,o,1
937,65,921,GREEN,o,1
937,935,79,BLUE,o,1
63,935,921,YELLOW,o,1
943,944,939,RED,o,1
943,56,939,GREEN,o,1
943,944,61,BLUE,o,1
57,944,939,YELLOW,o,1
957,959,924,RED,o,1
957,41,924,GREEN,o,1
957,959,76,BLUE,o,1
43,959,924,YELLOW,o,1
965,949,958,RED,v,0
965,51,958,GREEN,v,0
965,949,42,BLUE,v,0
35,949,958,YELLOW,v,0
978,967,948,RED,o,1
978,33,948,GREEN,o,1
978,967,52,BLUE,o,1
22,967,948,YELLOW,o,1
981,954,983,RED,o,1
981,46,983,GREEN,o,1
981,954,17,BLUE,o,1
19,954,983,YELLOW,o,1
971,983,995,RED,o,1
971,17,995,GREEN,o,1
971,983,5,BLUE,o,1
29,983,995,YELLOW,o,1
1009,980,973,RED,o,1
1009,20,973,GREEN,o,1
1009,980,27,BLUE,o,1
-9,980,973,YELLOW,o,1
