col_1:I,col_2:I,col_3:I,col_4:C,col_5:C,clo_6:T
103,88,89,RED,v,1
103,912,89,GREEN,v,1
103,88,911,BLUE,v,1
897,88,89,YELLOW,v,1
109,91,79,RED,v,1
109,909,79,GREEN,v,1
109,91,921,BLUE,v,1
891,91,79,YELLOW,v,1
103,79,95,RED,v,1
103,921,95,GREEN,v,1
103,79,905,BLUE,v,1
897,79,95,YELLOW,v,1
87,89,106,RED,v,1
87,911,106,GREEN,v,1
87,89,894,BLUE,v,1
913,89,106,YELLOW,v,1
78,87,103,RED,v,1
78,913,103,GREEN,v,1
78,87,897,BLUE,v,1
922,87,103,YELLOW,v,1
89,94,108,RED,v,1
89,906,108,GREEN,v,1
89,94,892,BLUE,v,1
911,94,108,YELLOW,v,1
78,102,101,RED,v,1
78,898,101,GREEN,v,1
78,102,899,BLUE,v,1
922,102,101,YELLOW,v,1
98,82,112,RED,v,1
98,918,112,GREEN,v,1
98,82,888,BLUE,v,1
902,82,112,YELLOW,v,1
118,110,99,RED,v,1
118,890,99,GREEN,v,1
118,110,901,BLUE,v,1
882,110,99,YELLOW,v,1
108,111,87,RED,v,1
108,889,87,GREEN,v,1
108,111,913,BLUE,v,1
892,111,87,YELLOW,v,1
753,276,338,BLUE,v,0
753,724,338,GREEN,v,0
753,276,662,YELLOW,v,0
247,276,338,YELLOW,v,0
89,100,122,RED,v,1
89,900,122,GREEN,v,1
89,100,878,BLUE,v,1
911,100,122,YELLOW,v,1
116,113,99,RED,v,1
116,887,99,GREEN,v,1
116,113,901,BLUE,v,1
884,113,99,YELLOW,v,1
85,84,84,RED,v,1
85,916,84,GREEN,v,1
85,84,916,BLUE,v,1
915,84,84,YELLOW,v,1
94,85,92,RED,v,1
94,915,92,GREEN,v,1
94,85,908,BLUE,v,1
906,85,92,YELLOW,v,1
100,103,96,RED,o,0
100,897,96,GREEN,o,0
100,103,904,BLUE,o,0
900,103,96,YELLOW,o,0
89,104,117,RED,v,1
89,896,117,GREEN,v,1
89,104,883,BLUE,v,1
911,104,117,YELLOW,v,1
94,117,114,RED,v,1
94,883,114,GREEN,v,1
94,117,886,BLUE,v,1
906,117,114,YELLOW,v,1
102,122,115,RED,v,1
102,878,115,GREEN,v,1
102,122,885,BLUE,v,1
898,122,115,YELLOW,v,1
125,117,128,RED,v,1
125,883,128,GREEN,v,1
125,117,872,BLUE,v,1
875,117,128,YELLOW,v,1
117,117,96,RED,v,1
117,883,96,GREEN,v,1
117,117,904,BLUE,v,1
883,117,96,YELLOW,v,1
128,103,130,RED,v,0
128,897,130,GREEN,v,0
128,103,870,BLUE,v,0
872,103,130,YELLOW,v,0
113,96,127,RED,v,1
113,904,127,GREEN,v,1
113,96,873,BLUE,v,1
887,96,127,YELLOW,v,1
94,98,111,RED,v,1
94,902,111,GREEN,v,1
94,98,889,BLUE,v,1
906,98,111,YELLOW,v,1
107,113,108,RED,v,1
107,887,108,GREEN,v,1
107,113,892,BLUE,v,1
893,113,108,YELLOW,v,1
131,103,121,GREEN,v,0
131,897,121,GREEN,v,0
131,103,879,GREEN,v,0
869,103,121,RED,v,0
125,132,112,RED,v,1
125,868,112,GREEN,v,1
125,132,888,BLUE,v,1
875,132,112,YELLOW,v,1
123,107,102,RED,v,0
123,893,102,GREEN,v,0
123,107,898,BLUE,v,0
877,107,102,YELLOW,v,0
120,128,122,RED,v,1
120,872,122,GREEN,v,1
120,128,878,BLUE,v,1
880,128,122,YELLOW,v,1
109,116,130,RED,v,1
109,884,130,GREEN,v,1
109,116,870,BLUE,v,1
891,116,130,YELLOW,v,1
129,105,111,RED,v,1
129,895,111,GREEN,v,1
129,105,889,BLUE,v,1
871,105,111,YELLOW,v,1
102,122,134,RED,v,1
102,878,134,GREEN,v,1
102,122,866,BLUE,v,1
898,122,134,YELLOW,v,1
121,103,131,RED,v,1
121,897,131,GREEN,v,1
121,103,869,BLUE,v,1
879,103,131,YELLOW,v,1
132,140,120,YELLOW,v,0
132,860,120,BLUE,v,0
132,140,880,RED,v,0
868,140,120,GREEN,v,0
144,116,117,RED,v,1
144,884,117,GREEN,v,1
144,116,883,BLUE,v,1
856,116,117,YELLOW,v,1
138,112,113,RED,v,1
138,888,113,GREEN,v,1
138,112,887,BLUE,v,1
862,112,113,YELLOW,v,1
133,135,113,RED,v,1
133,865,113,GREEN,v,1
133,135,887,BLUE,v,1
867,135,113,YELLOW,v,1
559,487,215,RED,v,0
559,513,215,BLUE,v,0
559,487,785,GREEN,v,0
441,487,215,BLUE,v,0
142,109,136,RED,v,1
142,891,136,GREEN,v,1
142,109,864,BLUE,v,1
858,109,136,YELLOW,v,1
140,127,124,RED,v,1
140,873,124,GREEN,v,1
140,127,876,BLUE,v,1
860,127,124,YELLOW,v,1
132,130,133,RED,v,1
132,870,133,GREEN,v,1
132,130,867,BLUE,v,1
868,130,133,YELLOW,v,1
146,145,118,RED,v,1
146,855,118,GREEN,v,1
146,145,882,BLUE,v,1
854,145,118,YELLOW,v,1
150,119,131,RED,v,1
150,881,131,GREEN,v,1
150,119,869,BLUE,v,1
850,119,131,YELLOW,v,1
645,4,400,GREEN,o,0
645,996,400,BLUE,o,0
645,4,600,BLUE,o,0
355,4,400,YELLOW,o,0
154,143,153,RED,v,1
154,857,153,GREEN,v,1
154,143,847,BLUE,v,1
846,143,153,YELLOW,v,1
149,134,133,RED,o,0
149,866,133,GREEN,o,0
149,134,867,BLUE,o,0
851,134,133,YELLOW,o,0
134,150,143,RED,v,1
134,850,143,GREEN,v,1
134,150,857,BLUE,v,1
866,150,143,YELLOW,v,1
129,131,135,RED,o,0
129,869,135,GREEN,o,0
129,131,865,BLUE,o,0
871,131,135,YELLOW,o,0
142,158,138,RED,o,0
142,842,138,GREEN,o,0
142,158,862,BLUE,o,0
858,158,138,YELLOW,o,0
134,143,156,RED,v,1
134,857,156,GREEN,v,1
134,143,844,BLUE,v,1
866,143,156,YELLOW,v,1
126,131,152,RED,v,1
126,869,152,GREEN,v,1
126,131,848,BLUE,v,1
874,131,152,YELLOW,v,1
138,131,140,YELLOW,v,0
138,869,140,RED,v,0
138,131,860,BLUE,v,0
862,131,140,GREEN,v,0
126,156,162,RED,v,1
126,844,162,GREEN,v,1
126,156,838,BLUE,v,1
874,156,162,YELLOW,v,1
146,155,139,RED,v,1
146,845,139,GREEN,v,1
146,155,861,BLUE,v,1
854,155,139,YELLOW,v,1
156,139,163,RED,v,1
156,861,163,GREEN,v,1
156,139,837,BLUE,v,1
844,139,163,YELLOW,v,1
137,135,139,RED,v,1
137,865,139,GREEN,v,1
137,135,861,BLUE,v,1
863,135,139,YELLOW,v,1
162,167,159,RED,v,1
162,833,159,GREEN,v,1
162,167,841,BLUE,v,1
838,167,159,YELLOW,v,1
147,156,167,RED,v,1
147,844,167,GREEN,v,1
147,156,833,BLUE,v,1
853,156,167,YELLOW,v,1
147,131,166,RED,v,1
147,869,166,GREEN,v,1
147,131,834,BLUE,v,1
853,131,166,YELLOW,v,1
138,147,144,RED,v,1
138,853,144,GREEN,v,1
138,147,856,BLUE,v,1
862,147,144,YELLOW,v,1
137,165,163,RED,v,1
137,835,163,GREEN,v,1
137,165,837,BLUE,v,1
863,165,163,YELLOW,v,1
159,150,171,RED,v,1
159,850,171,GREEN,v,1
159,150,829,BLUE,v,1
841,150,171,YELLOW,v,1
158,147,163,RED,v,1
158,853,163,GREEN,v,1
158,147,837,BLUE,v,1
842,147,163,YELLOW,v,1
159,136,147,RED,v,1
159,864,147,GREEN,v,1
159,136,853,BLUE,v,1
841,136,147,YELLOW,v,1
148,168,171,RED,v,1
148,832,171,GREEN,v,1
148,168,829,BLUE,v,1
852,168,171,YELLOW,v,1
155,141,165,RED,v,1
155,859,165,GREEN,v,1
155,141,835,BLUE,v,1
845,141,165,YELLOW,v,1
156,157,158,RED,v,1
156,843,158,GREEN,v,1
156,157,842,BLUE,v,1
844,157,158,YELLOW,v,1
167,139,158,RED,v,1
167,861,158,GREEN,v,1
167,139,842,BLUE,v,1
833,139,158,YELLOW,v,1
150,146,143,RED,v,1
150,854,143,GREEN,v,1
150,146,857,BLUE,v,1
850,146,143,YELLOW,v,1
143,164,168,RED,v,1
143,836,168,GREEN,v,1
143,164,832,BLUE,v,1
857,164,168,YELLOW,v,1
160,157,160,RED,v,1
160,843,160,GREEN,v,1
160,157,840,BLUE,v,1
840,157,160,YELLOW,v,1
365,204,541,BLUE,v,0
365,796,541,GREEN,v,0
365,204,459,BLUE,v,0
635,204,541,YELLOW,v,0
147,174,145,RED,v,1
147,826,145,GREEN,v,1
147,174,855,BLUE,v,1
853,174,145,YELLOW,v,1
559,153,270,BLUE,v,0
559,847,270,GREEN,v,0
559,153,730,GREEN,v,0
441,153,270,GREEN,v,0
179,181,183,RED,o,0
179,819,183,GREEN,o,0
179,181,817,BLUE,o,0
821,181,183,YELLOW,o,0
186,156,177,RED,v,1
186,844,177,GREEN,v,1
186,156,823,BLUE,v,1
814,156,177,YELLOW,v,1
157,185,186,RED,v,1
157,815,186,GREEN,v,1
157,185,814,BLUE,v,1
843,185,186,YELLOW,v,1
177,179,184,RED,o,0
177,821,184,GREEN,o,0
177,179,816,BLUE,o,0
823,179,184,YELLOW,o,0
151,167,159,RED,v,1
151,833,159,GREEN,v,1
151,167,841,BLUE,v,1
849,167,159,YELLOW,v,1
188,185,156,RED,v,1
188,815,156,GREEN,v,1
188,185,844,BLUE,v,1
812,185,156,YELLOW,v,1
168,189,177,RED,v,1
168,811,177,GREEN,v,1
168,189,823,BLUE,v,1
832,189,177,YELLOW,v,1
165,161,166,RED,v,1
165,839,166,GREEN,v,1
165,161,834,BLUE,v,1
835,161,166,YELLOW,v,1
177,184,180,RED,v,1
177,816,180,GREEN,v,1
177,184,820,BLUE,v,1
823,184,180,YELLOW,v,1
348,881,620,RED,o,0
348,119,620,BLUE,o,0
348,881,380,RED,o,0
652,881,620,RED,o,0
159,180,188,RED,v,1
159,820,188,GREEN,v,1
159,180,812,BLUE,v,1
841,180,188,YELLOW,v,1
173,189,174,RED,v,1
173,811,174,GREEN,v,1
173,189,826,BLUE,v,1
827,189,174,YELLOW,v,1
196,189,158,RED,v,1
196,811,158,GREEN,v,1
196,189,842,BLUE,v,1
804,189,158,YELLOW,v,1
177,158,158,RED,v,1
177,842,158,GREEN,v,1
177,158,842,BLUE,v,1
823,158,158,YELLOW,v,1
165,173,182,RED,v,1
165,827,182,GREEN,v,1
165,173,818,BLUE,v,1
835,173,182,YELLOW,v,1
172,179,180,RED,v,1
172,821,180,GREEN,v,1
172,179,820,BLUE,v,1
828,179,180,YELLOW,v,1
433,313,603,YELLOW,v,0
433,687,603,RED,v,0
433,313,397,RED,v,0
567,313,603,RED,v,0
195,201,195,RED,v,0
195,799,195,GREEN,v,0
195,201,805,BLUE,v,0
805,201,195,YELLOW,v,0
173,168,198,RED,v,0
173,832,198,GREEN,v,0
173,168,802,BLUE,v,0
827,168,198,YELLOW,v,0
188,177,182,RED,v,1
188,823,182,GREEN,v,1
188,177,818,BLUE,v,1
812,177,182,YELLOW,v,1
195,167,192,RED,v,1
195,833,192,GREEN,v,1
195,167,808,BLUE,v,1
805,167,192,YELLOW,v,1
181,204,168,RED,o,0
181,796,168,GREEN,o,0
181,204,832,BLUE,o,0
819,204,168,YELLOW,o,0
181,191,189,RED,o,0
181,809,189,GREEN,o,0
181,191,811,BLUE,o,0
819,191,189,YELLOW,o,0
168,170,203,RED,v,1
168,830,203,GREEN,v,1
168,170,797,BLUE,v,1
832,170,203,YELLOW,v,1
178,188,193,RED,v,1
178,812,193,GREEN,v,1
178,188,807,BLUE,v,1
822,188,193,YELLOW,v,1
191,178,180,RED,v,1
191,822,180,GREEN,v,1
191,178,820,BLUE,v,1
809,178,180,YELLOW,v,1
183,179,190,RED,v,1
183,821,190,GREEN,v,1
183,179,810,BLUE,v,1
817,179,190,YELLOW,v,1
177,211,192,RED,v,1
177,789,192,GREEN,v,1
177,211,808,BLUE,v,1
823,211,192,YELLOW,v,1
207,209,195,RED,v,1
207,791,195,GREEN,v,1
207,209,805,BLUE,v,1
793,209,195,YELLOW,v,1
182,193,176,RED,v,1
182,807,176,GREEN,v,1
182,193,824,BLUE,v,1
818,193,176,YELLOW,v,1
708,653,171,YELLOW,v,0
708,347,171,BLUE,v,0
708,653,829,RED,v,0
292,653,171,YELLOW,v,0
193,192,178,RED,v,1
193,808,178,GREEN,v,1
193,192,822,BLUE,v,1
807,192,178,YELLOW,v,1
185,206,185,RED,v,1
185,794,185,GREEN,v,1
185,206,815,BLUE,v,1
815,206,185,YELLOW,v,1
203,190,186,RED,v,1
203,810,186,GREEN,v,1
203,190,814,BLUE,v,1
797,190,186,YELLOW,v,1
180,195,179,RED,v,1
180,805,179,GREEN,v,1
180,195,821,BLUE,v,1
820,195,179,YELLOW,v,1
220,183,211,RED,v,1
220,817,211,GREEN,v,1
220,183,789,BLUE,v,1
780,183,211,YELLOW,v,1
220,186,190,RED,o,0
220,814,190,GREEN,o,0
220,186,810,BLUE,o,0
780,186,190,YELLOW,o,0
221,204,218,GREEN,v,0
221,796,218,YELLOW,v,0
221,204,782,GREEN,v,0
779,204,218,GREEN,v,0
188,217,210,RED,v,1
188,783,210,GREEN,v,1
188,217,790,BLUE,v,1
812,217,210,YELLOW,v,1
205,213,184,RED,v,1
205,787,184,GREEN,v,1
205,213,816,BLUE,v,1
795,213,184,YELLOW,v,1
43,808,415,YELLOW,o,0
43,192,415,GREEN,o,0
43,808,585,YELLOW,o,0
957,808,415,RED,o,0
226,221,209,RED,v,1
226,779,209,GREEN,v,1
226,221,791,BLUE,v,1
774,221,209,YELLOW,v,1
226,191,223,RED,v,1
226,809,223,GREEN,v,1
226,191,777,BLUE,v,1
774,191,223,YELLOW,v,1
201,205,207,RED,v,1
201,795,207,GREEN,v,1
201,205,793,BLUE,v,1
799,205,207,YELLOW,v,1
222,229,212,RED,v,1
222,771,212,GREEN,v,1
222,229,788,BLUE,v,1
778,229,212,YELLOW,v,1
228,192,199,RED,v,1
228,808,199,GREEN,v,1
228,192,801,BLUE,v,1
772,192,199,YELLOW,v,1
197,198,194,RED,v,1
197,802,194,GREEN,v,1
197,198,806,BLUE,v,1
803,198,194,YELLOW,v,1
197,193,224,RED,v,1
197,807,224,GREEN,v,1
197,193,776,BLUE,v,1
803,193,224,YELLOW,v,1
204,230,194,RED,v,1
204,770,194,GREEN,v,1
204,230,806,BLUE,v,1
796,230,194,YELLOW,v,1
213,224,195,RED,v,1
213,776,195,GREEN,v,1
213,224,805,BLUE,v,1
787,224,195,YELLOW,v,1
230,229,197,RED,v,1
230,771,197,GREEN,v,1
230,229,803,BLUE,v,1
770,229,197,YELLOW,v,1
236,202,202,RED,v,1
236,798,202,GREEN,v,1
236,202,798,BLUE,v,1
764,202,202,YELLOW,v,1
232,215,223,RED,v,1
232,785,223,GREEN,v,1
232,215,777,BLUE,v,1
768,215,223,YELLOW,v,1
220,217,214,RED,v,1
220,783,214,GREEN,v,1
220,217,786,BLUE,v,1
780,217,214,YELLOW,v,1
238,200,216,RED,v,1
238,800,216,GREEN,v,1
238,200,784,BLUE,v,1
762,200,216,YELLOW,v,1
216,227,221,RED,v,1
216,773,221,GREEN,v,1
216,227,779,BLUE,v,1
784,227,221,YELLOW,v,1
221,221,208,YELLOW,v,0
221,779,208,YELLOW,v,0
221,221,792,YELLOW,v,0
779,221,208,GREEN,v,0
232,212,215,RED,v,1
232,788,215,GREEN,v,1
232,212,785,BLUE,v,1
768,212,215,YELLOW,v,1
220,219,224,RED,v,0
220,781,224,GREEN,v,0
220,219,776,BLUE,v,0
780,219,224,YELLOW,v,0
208,234,213,RED,v,1
208,766,213,GREEN,v,1
208,234,787,BLUE,v,1
792,234,213,YELLOW,v,1
237,205,223,RED,v,1
237,795,223,GREEN,v,1
237,205,777,BLUE,v,1
763,205,223,YELLOW,v,1
231,244,244,RED,v,1
231,756,244,GREEN,v,1
231,244,756,BLUE,v,1
769,244,244,YELLOW,v,1
221,238,216,RED,v,1
221,762,216,GREEN,v,1
221,238,784,BLUE,v,1
779,238,216,YELLOW,v,1
240,231,208,RED,v,1
240,769,208,GREEN,v,1
240,231,792,BLUE,v,1
760,231,208,YELLOW,v,1
212,221,239,RED,v,1
212,779,239,GREEN,v,1
212,221,761,BLUE,v,1
788,221,239,YELLOW,v,1
228,248,212,RED,v,1
228,752,212,GREEN,v,1
228,248,788,BLUE,v,1
772,248,212,YELLOW,v,1
230,246,235,RED,v,1
230,754,235,GREEN,v,1
230,246,765,BLUE,v,1
770,246,235,YELLOW,v,1
244,250,242,RED,v,1
244,750,242,GREEN,v,1
244,250,758,BLUE,v,1
756,250,242,YELLOW,v,1
239,238,217,RED,v,1
239,762,217,GREEN,v,1
239,238,783,BLUE,v,1
761,238,217,YELLOW,v,1
214,239,252,RED,v,1
214,761,252,GREEN,v,1
214,239,748,BLUE,v,1
